NOM_ENT, region
Campeche, Golfo de México y Caribe                      
Quintana Roo, Golfo de México y Caribe                   
Tabasco, Golfo de México y Caribe                        
Tamaulipas, Golfo de México y Caribe                      
Veracruz de Ignacio de la Llave, Golfo de México y Caribe
Yucatán, Golfo de México y Caribe                        
Baja California, Océano Pacífico y Golfo de California               
Baja California Sur, Océano Pacífico y Golfo de California            
Colima, Océano Pacífico y Golfo de California                         
Chiapas, Océano Pacífico y Golfo de California                        
Guerrero, Océano Pacífico y Golfo de California                       
Jalisco, Océano Pacífico y Golfo de California                        
Michoacán de Ocampo, Océano Pacífico y Golfo de California            
Nayarit, Océano Pacífico y Golfo de California                        
Oaxaca, Océano Pacífico y Golfo de California                         
Sinaloa, Océano Pacífico y Golfo de California                        
Sonora, Océano Pacífico y Golfo de California  